Tanggal,Rating,Komentar,Word Count,batch,Content Quality,Subscription & Pricing,UI/UX,Functionality,Technical & Access
2025-12-09 00:53:21,3.0,Bintang. :3. Score :7,4,lt5,,,,,
2025-09-27 08:23:47,5.0,kompas is the best,4,lt5,,,,,
2025-09-11 13:46:58,4.0,berbayar untuk baca berita,4,lt5,,0.0,,,
2025-07-02 18:04:46,5.0,Kenapa malah ada iklanya...,4,lt5,,,,,
2025-06-08 20:33:06,5.0,berita up to date,4,lt5,1.0,,,,
2025-06-05 06:36:03,5.0,kompas selalu mengedepankan akurasi,4,lt5,1.0,,,,
2025-04-29 18:50:26,5.0,perlu pengetahuan & pengalaman.,4,lt5,,,,,
2025-03-23 06:32:54,5.0,"terpercaya beritanya, terstandarkan diksinya.",4,lt5,1.0,,,,
2024-12-26 04:06:13,5.0,Berita beragam. Ulasan lengkap.,4,lt5,1.0,,,,
2024-12-19 20:46:26,5.0,"Tajam, independen dan terpercaya",4,lt5,1.0,,,,
2024-11-24 15:34:56,5.0,panjang umur jurnalisme 🔥,4,lt5,,,,,
2024-10-25 04:00:32,5.0,Beritanya dapat di percaya,4,lt5,1.0,,,,
2024-10-05 05:11:34,4.0,Suka hobi baca sy,4,lt5,,,,,
2024-09-20 09:28:19,5.0,informatif dan dapat diandalkan,4,lt5,1.0,,,,
2024-09-20 07:26:28,5.0,Kurang berani kritik pemerintah,4,lt5,-1.0,,,,
2024-09-06 12:39:13,5.0,Sangat up to date,4,lt5,1.0,,,,
2024-08-03 13:31:28,5.0,"lebih terpercaya, mudah diakses",4,lt5,1.0,,,,
2024-07-21 13:42:03,5.0,berita aktual dan terpercaya,4,lt5,1.0,,,,
2024-07-16 09:49:17,5.0,cukup membantu menambah informasi,4,lt5,1.0,,,,
2024-07-09 09:15:31,5.0,"Ok. bagus pemberitaan nya,",4,lt5,1.0,,,,
2024-06-19 21:17:35,4.0,kompas trupdet dan terpercaya,4,lt5,1.0,,,,
2024-06-03 22:23:08,5.0,"Informatif, akurat, dan terpercaya",4,lt5,1.0,,,,
2024-05-08 10:48:49,5.0,Sangat membantu.Super sekali 👍,4,lt5,,,,,
2024-04-30 11:21:12,5.0,berita yang sangat penting,4,lt5,0.0,,,,
2024-04-08 23:28:24,5.0,beritanya sangat sy suka,4,lt5,1.0,,,,
2024-04-04 12:41:41,1.0,"Bintang 1, Kurang update",4,lt5,-1.0,,,,
2024-03-09 16:09:09,5.0,berita aktual dan akurat,4,lt5,1.0,,,,
2024-03-01 05:36:01,5.0,laporan berita nya bagus,4,lt5,1.0,,,,
2024-02-26 00:20:52,4.0,smoga terus memberi informasi,4,lt5,,,,,
2024-01-22 17:00:52,5.0,"bagus. banyaklah membaca, ya.",4,lt5,,,,,
2024-01-10 13:10:39,5.0,membantu pengetahuan dan perkembangan...,4,lt5,,,,,
2023-12-12 10:48:29,1.0,Mulai ga netral ini.,4,lt5,-1.0,,,,
2023-12-10 17:55:25,4.0,Aku beli premium. Puas,4,lt5,,1.0,,,
2023-11-26 15:02:59,5.0,Aplikasi Berita yang Akurat,4,lt5,1.0,,,,
2023-11-25 12:37:30,5.0,"baik, update dan netral",4,lt5,1.0,,,,
2023-11-16 11:42:41,5.0,"jurnalisme berkualitas, ya Kompas",4,lt5,1.0,,,,
2023-11-14 07:39:59,5.0,S balacewarma janggelan sekian,4,lt5,,,,,
2023-11-10 08:08:19,5.0,informatif & inspiratif. KEREN,4,lt5,1.0,,,,
2023-10-22 20:28:30,5.0,"Jurnalisme mencerahkan, Independen... Terpercaya!!..",4,lt5,1.0,,,,
2023-10-18 20:42:16,5.0,Jurnalis Lokal Kualitas Internasional....,4,lt5,1.0,,,,
2023-10-16 19:37:40,1.0,susah pembayaran untuk berlangganan,4,lt5,,-1.0,,,
2023-10-10 00:19:22,5.0,Kompas memang serba pas...,4,lt5,,,,,
2023-10-05 06:06:29,5.0,Beritanya detail dan akurat,4,lt5,1.0,,,,
2023-09-28 19:48:43,2.0,video tidak bisa diputar,4,lt5,,,,-1.0,
2023-09-26 17:36:46,5.0,Berita aktual. Mantap pokoknya.,4,lt5,1.0,,,,
2023-09-23 07:56:38,1.0,Mengikuti inf. Kompas selengkapnja,4,lt5,,,,,
2023-09-14 17:48:32,5.0,Nyimak berita terbaru update....👍👍,4,lt5,1.0,,,,
2023-08-30 15:38:25,1.0,tidak bisa di buka,4,lt5,,,,,-1.0
2023-08-16 15:27:01,5.0,Wahh keren banget aplikasinya,4,lt5,,,,,
2023-08-16 05:27:23,5.0,Kompas tetap mantap .,4,lt5,,,,,
2023-07-31 08:46:22,5.0,"lebih akurat, tepat topik",4,lt5,1.0,,,,
2023-07-23 21:05:41,5.0,berita aktual dan terpercaya,4,lt5,1.0,,,,
2023-07-13 06:01:41,5.0,kompas is the best,4,lt5,,,,,
2023-07-05 11:15:34,1.0,"Menjebak, berhenti langganannya menyulitkan.",4,lt5,,-1.0,,,
