Unnamed: 0,Rating,Komentar,Content Quality,Subscription & Pricing,UI/UX,Functionality,Technical & Access
0,3.0,Bintang. :3. Score :7,,,,,
1,5.0,kompas is the best,,,,,
2,4.0,berbayar untuk baca berita,,0.0,,,
3,5.0,Kenapa malah ada iklanya...,,,,,
4,5.0,berita up to date,1.0,,,,
5,5.0,perlu pengetahuan & pengalaman.,,,,,
6,5.0,"terpercaya beritanya, terstandarkan diksinya.",1.0,,,,
7,5.0,panjang umur jurnalisme 🔥,,,,,
8,5.0,Beritanya dapat di percaya,1.0,,,,
9,4.0,Suka hobi baca sy,,,,,
10,5.0,Kurang berani kritik pemerintah,-1.0,,,,
11,5.0,Sangat up to date,1.0,,,,
12,5.0,berita yang sangat penting,,,,,
13,1.0,"Bintang 1, Kurang update",-1.0,,,,
14,5.0,berita aktual dan akurat,1.0,,,,
15,5.0,laporan berita nya bagus,1.0,,,,
16,4.0,smoga terus memberi informasi,,,,,
17,5.0,"bagus. banyaklah membaca, ya.",,,,,
18,5.0,membantu pengetahuan dan perkembangan...,,,,,
19,1.0,Mulai ga netral ini.,-1.0,,,,
20,4.0,Aku beli premium. Puas,,1.0,,,
21,5.0,"jurnalisme berkualitas, ya Kompas",1.0,,,,
22,5.0,S balacewarma janggelan sekian,,,,,
23,5.0,informatif & inspiratif. KEREN,1.0,,,,
24,5.0,Jurnalis Lokal Kualitas Internasional....,1.0,,,,
25,1.0,susah pembayaran untuk berlangganan,,-1.0,,,
26,2.0,video tidak bisa diputar,,,,-1.0,
27,5.0,Berita aktual. Mantap pokoknya.,1.0,,,,
28,1.0,Mengikuti inf. Kompas selengkapnja,,,,,
29,5.0,Nyimak berita terbaru update....👍👍,1.0,,,,
30,1.0,tidak bisa di buka,,,,,-1.0
31,5.0,Kompas tetap mantap .,,,,,
32,5.0,"lebih akurat, tepat topik",1.0,,,,
33,5.0,berita aktual dan terpercaya,1.0,,,,
34,5.0,kompas is the best,,,,,
35,5.0,Lancar jaya dan lengkap..,1.0,,,,
36,5.0,Bru coba btg 5,,,,,
37,5.0,nyaman dan enak dibaca,,,1.0,,
38,4.0,sangat membantu informasi masyarakat.,,,,,
39,5.0,sangat informatif dan tuntas,1.0,,,,
40,5.0,Informasi akurat dan berkualitas.,1.0,,,,
41,5.0,Jurnalisme mendalam dan profesional,1.0,,,,
42,5.0,Menyenangkan lho berlangganan Kompas,,1.0,,,
43,5.0,"Berita terbaik,khusus saya peribadi",1.0,,,,
44,5.0,Koran digital yang revolusioner,1.0,,,,
45,5.0,bagus ga banyak iklan...,,1.0,,,
46,5.0,sangat Bagus dan keren,,,,,
47,1.0,tak rama sama kantong..,,-1.0,,,
48,5.0,informasi yg ter update,1.0,,,,
49,5.0,I love kompas id....,,,,,
50,4.0,Terimakasih sudah diperbaiki kinerjanya,,,,,1.0
51,5.0,Saya suka apps nya,,,,,
52,5.0,Paling bagus sekali Waooo,,,,,
53,1.0,Sering rasis..TDK Sesuai fakta,-1.0,,,,
54,1.0,Sangat penting membaca berita,,,,,
55,5.0,platform digital yg mumpuni,,,,,
56,5.0,kompas bagus sekali bagus,,,,,
57,5.0,Semoga akurat dan bermanfaat,,,,,
58,5.0,I like it forever,,,,,
59,5.0,bagus dan komplit beritanys,1.0,,,,
60,5.0,berita terbaru dan terpercaya,1.0,,,,
61,5.0,ok bgt berita nya,1.0,,,,
